자치구별(2),사회 믿음,가족,이웃,친구,공공 기관,처음 만난 낯선 사람,국내 거주 외국인
소계,5.1,8.49,4.83,6.91,5.3,2.49,2.56
종로구,4.91,8.41,4.65,6.64,5.11,2.24,2.41
중구,5.08,8.6,4.73,7.09,5.37,2.29,2.4
용산구,5.12,8.54,4.83,6.81,5.18,2.66,2.68
성동구,5.12,8.34,4.87,6.83,5.32,2.63,2.7
광진구,5.05,8.52,4.75,7,5.1,2.49,2.44
동대문구,5.04,8.34,4.88,6.98,5.32,2.29,2.41
중랑구,5.17,8.34,5.09,7.04,5.36,2.5,2.7
성북구,5.02,8.26,4.79,6.79,5.4,2.45,2.46
강북구,5.12,8.28,4.91,6.63,5.41,2.75,2.73
도봉구,5.2,8.56,4.94,6.84,5.44,2.68,2.74
노원구,5.3,8.72,5.05,7.07,5.5,2.71,2.73
은평구,5.04,8.65,4.77,6.81,5.13,2.4,2.51
서대문구,5.14,8.59,4.93,6.88,5.07,2.67,2.69
마포구,5.07,8.67,4.75,7.04,5.13,2.33,2.47
양천구,4.96,8.33,4.57,6.78,5.05,2.42,2.62
강서구,5.06,8.4,4.79,6.82,5.42,2.34,2.56
구로구,5.12,8.65,4.98,6.83,5.33,2.44,2.5
금천구,5.17,8.44,4.98,6.93,5.49,2.61,2.54
영등포구,5.07,8.51,4.77,6.98,5.41,2.34,2.42
동작구,5.19,8.62,4.88,7.04,5.27,2.61,2.71
관악구,5.09,8.38,4.76,7.01,5.31,2.58,2.48
서초구,5.06,8.48,4.82,6.77,5.16,2.52,2.6
강남구,5.01,8.6,4.56,7.05,5.32,2.22,2.33
송파구,5.24,8.56,4.9,7.01,5.5,2.73,2.77
강동구,4.94,8.32,4.66,6.84,5.12,2.31,2
